title,summary,source_url,published_at
"Mạo danh cán bộ Công an yêu cầu chuyển tiền xác minh án","Đối tượng gọi video/điện thoại, gửi ""lệnh bắt/giấy mời"" giả, ép chuyển tiền ""kiểm tra tài khoản an toàn"". Công an không bao giờ yêu cầu chuyển tiền qua điện thoại.",https://cand.com.vn,2025-11-14
"Liên kết giả mạo ""nộp phạt nguội"" giao thông","Gửi SMS/Zalo kèm link giả CSGT để thu thập OTP, chiếm đoạt tài khoản ngân hàng. Không click vào link lạ, chỉ nộp phạt qua cổng dịch vụ công chính thức.",https://cand.com.vn,2025-11-14
"Tuyển cộng tác viên thương mại điện tử – hoàn tiền ảo","Dụ làm nhiệm vụ, nạp tiền vòng lặp; khi số tiền lớn sẽ khoá liên hệ, chiếm đoạt. Cảnh giác với công việc yêu cầu nạp tiền trước.",https://cand.com.vn,2025-11-14
"Lừa đảo đầu tư ""lợi nhuận cao, rút tức thì""","Ứng dụng/website giả, cho rút nhỏ giai đoạn đầu; khi nạp lớn sẽ không rút được. Không đầu tư vào các nền tảng không rõ nguồn gốc.",https://cand.com.vn,2025-11-14
"Giả mạo ngân hàng/điện lực/viễn thông – cập nhật thông tin","Gửi link cập nhật KYC, doạ khoá dịch vụ; đánh cắp thông tin, chiếm tài khoản. Luôn kiểm tra URL và chỉ cập nhật qua ứng dụng chính thức.",https://cand.com.vn,2025-11-14
"Giả mạo hoàn thuế/khuyến mãi hoàn tiền","Trang giả danh cơ quan thuế/tài chính mời nhận hoàn tiền; yêu cầu OTP/nhập thông tin thẻ. Cơ quan thuế không gửi link hoàn tiền qua SMS/email.",https://cand.com.vn,2025-11-14
"Lừa bán vé sự kiện/du lịch giá rẻ – vé giả","Vé/kịch bản quét mã, chuyển cọc; khi đến nơi không sử dụng được, mất tiền. Chỉ mua vé từ nguồn chính thức, không chuyển tiền trước khi xác minh.",https://cand.com.vn,2025-11-14
"Lừa cho vay online giải ngân nhanh","Thu phí/ứng dụng cài đặt, đánh cắp dữ liệu; áp lãi cao, đe doạ khi không trả. Chỉ vay từ tổ chức tín dụng được cấp phép.",https://cand.com.vn,2025-11-14
"Chiếm đoạt tài khoản mạng xã hội qua link xác minh/xanh tích","Trang giả mạo ""xác minh tick xanh"", yêu cầu đăng nhập; mất tài khoản, lừa bạn bè. Không click vào link xác minh từ nguồn không chính thức.",https://cand.com.vn,2025-11-14
"Lừa mua bán tài khoản ngân hàng/thuê KYC","Thuê/mua bán tài khoản, dùng rửa tiền; người cho thuê bị xử lý pháp luật. Không cho thuê hoặc bán tài khoản ngân hàng cho người khác.",https://cand.com.vn,2025-11-14
"Phần mềm gián điệp/ứng dụng giám sát điện thoại","Cài ứng dụng ngoài chợ, đánh cắp SMS/OTP/danh bạ; chiếm quyền tài khoản. Chỉ cài ứng dụng từ cửa hàng chính thức, không cài từ link lạ.",https://cand.com.vn,2025-11-14
"Mạo danh toà án/viện kiểm sát/hải quan qua email công vụ giả","Email/lookalike domain, gửi văn bản giả; dẫn dụ chuyển tiền ""giải quyết nhanh"". Cơ quan nhà nước không yêu cầu chuyển tiền qua email.",https://cand.com.vn,2025-11-14
"Lừa bán SIM/data/hoá đơn ""siêu rẻ""","Nhận tiền không giao; hoặc giao SIM đăng ký sẵn, rủi ro pháp lý cho người mua. Chỉ mua SIM từ nhà mạng chính thức.",https://cand.com.vn,2025-11-14
"Tuyển việc lương cao không yêu cầu kinh nghiệm","Thu phí/đặt cọc đồng phục, rồi chặn liên hệ; hoặc đưa vào hoạt động phạm pháp. Cảnh giác với công việc yêu cầu đóng phí trước.",https://cand.com.vn,2025-11-14
"Mã độc qua file nén hoá đơn/hợp đồng","Gửi file .zip/.rar giả hoá đơn, yêu cầu giải nén; cài mã độc, chiếm dữ liệu/OTP. Không mở file đính kèm từ email lạ, luôn quét virus trước khi mở.",https://cand.com.vn,2025-11-14
